Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Name,Adjusted_Date,open_next_day,open_close_diff,close_next_open_diff,open_next_open_diff,Label
2025-01-07 00:00:00+05:30,2360.050048828125,2392.25,2347.5,2357.64990234375,1249557,0.0,0.0,LUPIN.NS,2025-01-07,,-2.400146484375,0.0,-2.400146484375,-1
2024-11-27 00:00:00+05:30,111.5,122.6500015258789,111.5,121.6500015258789,300960804,0.0,0.0,NTPCGREEN.NS,2024-11-27,120.5,10.150001525878906,-1.1500015258789062,9.0,1
2024-11-28 00:00:00+05:30,120.5,132.3000030517578,116.2300033569336,127.75,168668707,0.0,0.0,NTPCGREEN.NS,2024-11-28,127.0,7.25,-0.75,6.5,1
2024-11-29 00:00:00+05:30,127.0,132.1300048828125,123.22000122070312,124.83999633789062,78282615,0.0,0.0,NTPCGREEN.NS,2024-11-29,125.8000030517578,-2.160003662109375,0.9600067138671733,-1.1999969482422017,-1
2024-12-02 00:00:00+05:30,125.8000030517578,129.92999267578125,124.0,129.1999969482422,43653965,0.0,0.0,NTPCGREEN.NS,2024-12-02,129.94000244140625,3.399993896484389,0.7400054931640625,4.139999389648452,1
2024-12-03 00:00:00+05:30,129.94000244140625,142.1199951171875,129.5,142.1199951171875,63550283,0.0,0.0,NTPCGREEN.NS,2024-12-03,151.3000030517578,12.17999267578125,9.180007934570312,21.360000610351562,1
2024-12-04 00:00:00+05:30,151.3000030517578,155.35000610351562,144.0,147.64999389648438,92484595,0.0,0.0,NTPCGREEN.NS,2024-12-04,148.89999389648438,-3.6500091552734375,1.25,-2.4000091552734375,-1
2024-12-05 00:00:00+05:30,148.89999389648438,149.6999969482422,139.25,141.10000610351562,49314505,0.0,0.0,NTPCGREEN.NS,2024-12-05,141.8000030517578,-7.79998779296875,0.6999969482421875,-7.0999908447265625,-1
2024-12-06 00:00:00+05:30,141.8000030517578,146.1999969482422,139.6699981689453,143.99000549316406,33774224,0.0,0.0,NTPCGREEN.NS,2024-12-06,145.0,2.19000244140625,1.0099945068359375,3.1999969482421875,1
2024-12-09 00:00:00+05:30,145.0,146.75,142.0,144.69000244140625,21477842,0.0,0.0,NTPCGREEN.NS,2024-12-09,145.14999389648438,-0.30999755859375,0.459991455078125,0.149993896484375,0
2024-12-10 00:00:00+05:30,145.14999389648438,149.60000610351562,142.1300048828125,146.64999389648438,39282395,0.0,0.0,NTPCGREEN.NS,2024-12-10,152.50999450683594,1.5,5.8600006103515625,7.3600006103515625,1
